_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
607306,May,Saturday,2023,8,0.0,YES,NO,NO,Leaside-Bennington (56),-79.37171259535933,43.69673507460057,MULTIPOINT ((-79.371712595 43.696735075))
607340,May,Saturday,2023,13,0.0,NO,NO,YES,Briar Hill-Belgravia (108),-79.45940167289828,43.698950262528086,MULTIPOINT ((-79.4594016729999 43.698950263))
607380,May,Sunday,2023,3,0.0,NO,NO,YES,Trinity-Bellwoods (81),-79.42237902587232,43.64348638746261,MULTIPOINT ((-79.422379026 43.643486387))
607526,May,Monday,2023,8,0.0,YES,NO,NO,Centennial Scarborough (133),-79.14656253488214,43.777374877253884,MULTIPOINT ((-79.146562535 43.7773748770001))
607740,May,Tuesday,2023,9,0.0,NO,YES,NO,North Riverdale (68),-79.34370268983929,43.66993604022086,MULTIPOINT ((-79.34370269 43.66993604))
607772,May,Tuesday,2023,14,0.0,YES,NO,NO,Forest Hill South (101),-79.42073072495296,43.68913120156555,MULTIPOINT ((-79.4207307249999 43.689131202))
607791,May,Tuesday,2023,14,0.0,NO,NO,YES,Junction Area (90),-79.47999992462171,43.66005306758081,MULTIPOINT ((-79.479999925 43.660053068))
607796,May,Tuesday,2023,19,0.0,YES,NO,NO,Dovercourt Village (172),-79.43166572355167,43.66066041031945,MULTIPOINT ((-79.431665724 43.66066041))
607868,May,Wednesday,2023,13,0.0,NO,NO,YES,Kensington-Chinatown (78),-79.3921049384829,43.64964698875063,MULTIPOINT ((-79.392104938 43.6496469890001))
607900,May,Wednesday,2023,21,0.0,NO,NO,YES,Yonge-Doris (151),-79.41092000144481,43.761515587776984,MULTIPOINT ((-79.410920001 43.7615155880001))
607918,May,Wednesday,2023,10,0.0,YES,NO,NO,Bay-Cloverhill (169),-79.38715424618069,43.66436980347352,MULTIPOINT ((-79.387154246 43.664369803))
607940,May,Wednesday,2023,15,0.0,NO,NO,YES,Stonegate-Queensway (16),-79.50704470446402,43.63696153191429,MULTIPOINT ((-79.507044704 43.636961532))
608015,May,Wednesday,2023,17,0.0,YES,NO,NO,Yonge-Bay Corridor (170),-79.37914544445697,43.64604768515132,MULTIPOINT ((-79.379145444 43.646047685))
608118,May,Thursday,2023,0,0.0,NO,YES,NO,Church-Wellesley (167),-79.38162554982559,43.66736870647241,MULTIPOINT ((-79.38162555 43.667368706))
608148,May,Thursday,2023,20,0.0,NO,YES,NO,The Beaches (63),-79.31483861853935,43.66232877988148,MULTIPOINT ((-79.3148386189999 43.66232878))
608323,May,Friday,2023,7,0.0,YES,NO,NO,Downtown Yonge East (168),-79.37546934872861,43.65246519156883,MULTIPOINT ((-79.3754693489999 43.6524651920001))
608365,May,Friday,2023,8,0.0,NO,YES,NO,South Riverdale (70),-79.33925268974396,43.66540303508425,MULTIPOINT ((-79.33925269 43.665403035))
608440,May,Friday,2023,22,0.0,NO,NO,YES,Annex (95),-79.41120693468322,43.665137009461795,MULTIPOINT ((-79.4112069349999 43.665137009))
608450,May,Friday,2023,14,0.0,NO,YES,NO,South Riverdale (70),-79.34041999157407,43.668145641306694,MULTIPOINT ((-79.340419992 43.6681456410001))
608496,May,Friday,2023,15,0.0,YES,NO,NO,University (79),-79.39818293729688,43.658263599520744,MULTIPOINT ((-79.3981829369999 43.6582636))
608499,May,Friday,2023,14,0.0,NO,NO,YES,Newtonbrook West (36),-79.41849334892314,43.77913089919968,MULTIPOINT ((-79.418493349 43.7791308990001))
608524,May,Saturday,2023,20,0.0,YES,NO,NO,Wychwood (94),-79.43261152886602,43.674549124523516,MULTIPOINT ((-79.432611529 43.674549125))
608553,May,Saturday,2023,14,0.0,YES,NO,NO,Stonegate-Queensway (16),-79.4872257099041,43.63751301023703,MULTIPOINT ((-79.48722571 43.6375130100001))
608561,May,Saturday,2023,13,0.0,NO,NO,YES,Stonegate-Queensway (16),-79.51061769737886,43.64559944822809,MULTIPOINT ((-79.510617697 43.645599448))
608567,May,Saturday,2023,11,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.41827062724184,43.64982419443549,MULTIPOINT ((-79.418270627 43.6498241940001))
608633,May,Saturday,2023,15,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.4207636264108,43.649327493872434,MULTIPOINT ((-79.4207636259999 43.649327494))
608750,May,Sunday,2023,16,0.0,YES,NO,NO,Agincourt South-Malvern West (128),-79.2818854152018,43.793313991548004,MULTIPOINT ((-79.281885415 43.793313992))
608754,May,Sunday,2023,15,0.0,YES,NO,NO,Agincourt South-Malvern West (128),-79.25980334085709,43.79205857251085,MULTIPOINT ((-79.259803341 43.7920585730001))
608755,May,Sunday,2023,15,0.0,YES,NO,NO,St.Andrew-Windfields (40),-79.37736091137297,43.75004299308739,MULTIPOINT ((-79.377360911 43.7500429930001))
608763,May,Sunday,2023,11,0.0,YES,NO,NO,Kingsview Village-The Westway (6),-79.54261582462608,43.71185731980241,MULTIPOINT ((-79.542615825 43.71185732))
608824,May,Sunday,2023,11,0.0,NO,YES,NO,Bedford Park-Nortown (39),-79.4195060339987,43.73325366951893,MULTIPOINT ((-79.4195060339999 43.7332536700001))
608904,May,Monday,2023,14,0.0,NO,YES,NO,Downtown Yonge East (168),-79.37995624627325,43.65407279317647,MULTIPOINT ((-79.3799562459999 43.6540727930001))
608910,May,Monday,2023,12,0.0,YES,NO,NO,Oakdale-Beverley Heights (154),-79.51842124251803,43.71877434658113,MULTIPOINT ((-79.518421243 43.7187743470001))
608913,May,Monday,2023,9,0.0,YES,NO,NO,Mimico-Queensway (160),-79.49899804761772,43.604848675262446,MULTIPOINT ((-79.498998048 43.604848675))
609013,May,Tuesday,2023,17,0.0,YES,NO,NO,Black Creek (24),-79.51967451372157,43.76590048621435,MULTIPOINT ((-79.519674514 43.7659004860001))
609014,May,Tuesday,2023,18,0.0,YES,NO,NO,Milliken (130),-79.30193250132601,43.812132373386106,MULTIPOINT ((-79.301932501 43.812132373))
609017,May,Tuesday,2023,18,0.0,YES,NO,NO,Fort York-Liberty Village (163),-79.40961403012727,43.636252276605795,MULTIPOINT ((-79.4096140299999 43.636252277))
609025,May,Tuesday,2023,18,0.0,NO,NO,YES,Trinity-Bellwoods (81),-79.41950952682885,43.64608668988605,MULTIPOINT ((-79.4195095269999 43.6460866900001))
609049,May,Tuesday,2023,12,0.0,NO,YES,NO,Lawrence Park North (105),-79.40425504620845,43.732980776458206,MULTIPOINT ((-79.4042550459999 43.732980776))
609104,May,Tuesday,2023,13,0.0,YES,NO,NO,Old East York (58),-79.33919752764429,43.69565770510978,MULTIPOINT ((-79.3391975279999 43.695657705))
609110,May,Tuesday,2023,7,0.0,NO,NO,YES,St Lawrence-East Bayfront-The Islands (166),-79.37791754527557,43.64317288227655,MULTIPOINT ((-79.3779175449999 43.643172882))
609136,May,Tuesday,2023,19,0.0,NO,NO,YES,Humber Summit (21),-79.56970422859403,43.75876291344287,MULTIPOINT ((-79.569704229 43.7587629130001))
609192,May,Tuesday,2023,3,0.0,YES,NO,NO,Runnymede-Bloor West Village (89),-79.48884341524531,43.66001725744251,MULTIPOINT ((-79.488843415 43.660017257))
609228,May,Wednesday,2023,21,0.0,YES,NO,NO,Lansing-Westgate (38),-79.43400061001351,43.73737106234383,MULTIPOINT ((-79.4340006099999 43.7373710620001))
609238,May,Wednesday,2023,12,0.0,YES,NO,NO,Kensington-Chinatown (78),-79.4009279330226,43.64870948812259,MULTIPOINT ((-79.4009279329999 43.6487094880001))
609240,May,Wednesday,2023,11,0.0,YES,NO,NO,Yorkdale-Glen Park (31),-79.45855382242256,43.713282554729055,MULTIPOINT ((-79.4585538219999 43.713282555))
609254,May,Wednesday,2023,15,0.0,YES,NO,NO,Kensington-Chinatown (78),-79.3921049384829,43.64964698875063,MULTIPOINT ((-79.392104938 43.6496469890001))
609318,May,Wednesday,2023,15,0.0,NO,NO,YES,Wellington Place (164),-79.40268203243795,43.643918783916604,MULTIPOINT ((-79.402682032 43.643918784))
609439,May,Thursday,2023,19,0.0,YES,NO,NO,Annex (95),-79.3894835474489,43.66970770955897,MULTIPOINT ((-79.3894835469999 43.6697077100001))
609450,May,Thursday,2023,22,0.0,YES,NO,NO,Yonge-Bay Corridor (170),-79.38247084224005,43.64529468439835,MULTIPOINT ((-79.382470842 43.6452946840001))
609526,May,Thursday,2023,16,0.0,YES,NO,NO,Wexford/Maryvale (119),-79.31660707274858,43.76803542241938,MULTIPOINT ((-79.3166070729999 43.768035422))
609527,May,Thursday,2023,16,0.0,YES,NO,NO,Cliffcrest (123),-79.24034222689977,43.71816409866497,MULTIPOINT ((-79.240342227 43.718164099))
609570,May,Thursday,2023,13,0.0,NO,NO,YES,St Lawrence-East Bayfront-The Islands (166),-79.38067854343488,43.640999879880496,MULTIPOINT ((-79.380678543 43.64099988))
609673,May,Friday,2023,10,0.0,YES,NO,NO,Briar Hill-Belgravia (108),-79.45026768449566,43.69568776612745,MULTIPOINT ((-79.450267684 43.695687766))
609751,May,Friday,2023,20,0.0,NO,YES,NO,Cabbagetown-South St.James Town (71),-79.37376715504146,43.667288406453174,MULTIPOINT ((-79.3737671549999 43.6672884060001))
609763,May,Friday,2023,22,0.0,NO,NO,YES,Wellington Place (164),-79.39814193429018,43.646230385334036,MULTIPOINT ((-79.398141934 43.6462303850001))
609792,May,Friday,2023,15,0.0,YES,NO,NO,Roncesvalles (86),-79.43985422004737,43.63994648898322,MULTIPOINT ((-79.43985422 43.6399464890001))
